TIPO,CONTEÚDO,DESCRIÇÃO,PRIORIDADE,INDENTAÇÃO,RESPONSÁVEL,DATA,DURAÇÃO,UNIDADE_DURAÇÃO,PRAZO
meta,view_style=list,,,,,,,,
,,,,,,,,,,
section,Cronograma de Sprints,,,,,
task,Fase 1: Descoberta e Definição,Período: 2025-07-30 a 2025-09-03,2,1,,,
task,Aula 4 — Personas e Jornada,"Criar personas (Ana, Carlos, Maria); Jornada atual vs desejada; Miro/FigJam",2,2,,20-08-25,
task,Aula 5 — Ideação,Brainstorm; How Might We; Conceito: gamificação HortaCoins,2,2,,27-08-25,
task,Aula 6 — Escopo do Projeto,Documento de Visão; Escopo detalhado; Objetivos; Plano de Projeto,2,2,,03-09-25,
task,Aula 3 — Empatia (Design Thinking),Mapeamento de stakeholders; Entrevistas; Entrega: Mapa da Empatia,2,2,,13-08-25,
task,Aula 2 — Formação de Equipe,"Papéis Scrum (Camila — PO; Enzo, Leticia, João Gabriel — Devs); Apresentação da equipe",2,2,,06-08-25,
task,Aula 1 — Boas‑vindas,Apresentação inicial do projeto de hortas urbanas; Participação e definição do tema,2,2,,30-07-25,
task,Fase 2: Requisitos e Planejamento,Período: 2025-09-10 a 2025-10-01,2,1,,,
task,Aula 7 — Requisitos Funcionais,"Funcionais: cadastro tarefas, wallet, validação foto/GPS, marketplace; Não-funcionais: performance, segurança, usabilidade",2,2,,10-09-25,
task,Aula 8 — Documentação de Requisitos,Especificações técnicas; Revisão com stakeholders; Viabilidade técnica,2,2,,17-09-25,
task,Aula 9 — Backlog do Produto,Product Backlog (Épicos 1-4); Priorização por valor; Azure DevOps/Jira,2,2,,24-09-25,
task,Aula 10 — Sprint Planning,Planejar Sprint 1 (4 semanas); Estimar SP; Critérios de aceite/DoD; Meta: protótipo navegável,2,2,,01-10-25,
task,Fase 3: Desenvolvimento e Testes,Período: 2025-10-08 a 2025-11-19,2,1,,,
task,Aula 11 — Sprint 1: Dev,Wireframes alta fidelidade; Cadastro/login; Tarefas; Identidade visual,2,2,,08-10-25,
task,Aula 12 — Daily Scrum,Rotina de dailies; Progresso e impedimentos; Ajustes,2,2,,15-10-25,
task,Aula 13 — Retro Sprint 1,Start/Stop/Continue; Melhorias; Planejar Sprint 2,2,2,,22-10-25,
task,Aula 14 — Sprint 2: Implementação,Protótipo funcional; HortaCoins básico; Marketplace; App navegável,2,2,,29-10-25,
task,Aula 15 — Testes,Plano de testes; Testes funcionais/usabilidade; Correções; Registro de resultados,2,2,,05-11-25,
task,Aula 16 — Avaliação de Usabilidade,Testes com usuários; Feedback; Análise de uso; Melhorias,2,2,,12-11-25,
task,Aula 17 — Refino da Solução,Implementar melhorias; Polir UI/UX; Validar versão final; Documentação final,2,2,,19-11-25,
task,Fase 4: Apresentação e Entrega,Período: 2025-11-26 a 2025-12-10,2,1,,,
task,Aula 18 — Preparação da Apresentação,Pitch 15 min; Storytelling; Demo; Métricas de impacto/viabilidade,2,2,,26-11-25,
task,Aula 19 — Apresentação Final,Apresentar à banca; Demo; Defender decisões; Resultados dos testes,2,2,,03-12-25,
task,Aula 20 — Encerramento,Relatório final; Aprendizados e próximos passos; Continuidade; Celebração,2,2,,10-12-25,
,,,,,,,,,,
section,Entregas,,,,,
task,Entregas — Documentação,Visão (A6); Requisitos (A8); Backlog (A9); Plano de Testes (A15); Relatório Final (A20),3,1,,,
task,Entregas — Protótipos,Wireframes (A11); Protótipo Navegável (A14); Versão Final (A17),3,1,,,
task,Entregas — Validações,Mapa da Empatia (A3); Personas/Jornada (A4); Testes de Usabilidade (A16),3,1,,,
task,Entregas — Apresentações,Pitch Final (A19); Demo Técnica (A19),3,1,,,
note,Critérios de Sucesso,,,,,,16-09-25,,
,,,,,,,,,,

